Displayed name,Choco pack name,WinGet pack name,Is svg?
*Browser,,,
Brave,brave,,svg
Firefox,firefox,,svg
Opera,opera,Opera.Opera,svg
Opera-gx,opera-gx,Opera.OperaGX,
,,,
,,,
*Daily used,,,
Totalcommander,totalcommander,,
Keepassxc,keepassxc,KeePassXCTeam.KeePassXC,svg
Syncthing,syncthing,,
Aomeibackup,backupper-standard,,
Everything,everything,voidtools.Everything,
HwInfo,hwinfo,REALiX.HWiNFO,
FDMtorrent,freedownloadmanager,SoftDeluxe.FreeDownloadManager,
,,,
*Windows ,,,
Autoruns,autoruns,,
Wiztree,wiztree,AntibodySoftware.WizTree,
Ventoy,ventoy,,
RevoUninstallerFree,revo-uninstaller,RevoUninstaller.RevoUninstaller,
CPU-Z,cpu-z,,
GlaryUtilities,glaryutilities-free,Glarysoft.GlaryUtilities,
,,,
,,,
*Games,,,
Steam,steam,Valve.Steam,
SteamCleaner,steam-cleaner,,
Epicgameslauncher,epicgameslauncher,,svg
ds4windows,ds4windows,,
valorant,valorant,,
ubisoftConnect,ubisoft-connect,,
Uplay,uplay,,svg
,,,
*Social,,,
Discord,discord,Discord.Discord,svg
Skype,skype,Microsoft.Skype,
Telegram,telegram,Telegram.TelegramDesktop,
,,,
*Media view & edit,,,
Irfanview,irfanview,IrfanSkiljan.IrfanView,
Imageglass,imageglass,DuongDieuPhap.ImageGlass,svg
Potplayer,potplayer,Daum.PotPlayer,
OBSStudio,obs-studio,,
LosslessCut,lossless-cut,,
Reaper,reaper,,
HandBrake,handbrake,,
,,,
,,,
*Code && other hobbies,,,
Pycharmcommunity,pycharm-community,,
Python,python,Python.Python.3.10,svg
VSCode,vscode,,
notepad++,notepadplusplus,Notepad++.Notepad++,
VMwareWorkstationPlayer,vmware-workstation-player,VMware.WorkstationPro,
praat,praat,,
wacom-drivers,wacom-drivers,Wacom.WacomTabletDriver,
,,,
,,,
*May be needed,,,
Chocolateygui,chocolateygui,Chocolatey.ChocolateyGUI,
ChocoCleaner,choco-cleaner,,
CrystalDiskInfoportable,crystaldiskinfo.portable,,
DisplayDriverUninstaller,ddu,,
NVIDIAProfileInspector,nvidia-profile-inspector,,
,,,
,,,
*Windows start,,,
GeforceExperience,geforce-experience,Nvidia.GeForceExperience,
GeforceGameReadyDriver,geforce-game-ready-driver,,
DisableWinTracking,disablewintracking,,
DisableWinDefender(Config),disabledefender-winconfig,,
Dellupdate,dell-update,,
WinaeroTweaker,winaero-tweaker,,
Dism++,dismplusplus,,
,,,
*Not used atm,,,
BleachBit,bleachbit,,svg
Eraser,eraser,,
NirLauncher,nirlauncher,,
PicPick,picpick.portable,,
MiniToolPartitionWizard,partitionwizard,,
ProcessLasso,plasso,,
LockHunter,lockhunter,,
,,,
%Pack 1,,,
Brave,brave,,svg
Totalcommander,totalcommander,,
Keepassxc,keepassxc,,svg
Aomeibackup,backupper-standard,AOMEI.Backupper,
HwInfo,hwinfo,REALiX.HWiNFO,
VSCode,vscode,Microsoft.VisualStudioCode,
